"mission_id","rome_code","mission_description"
"96",Z4101,Réaliser des diagnostics techniques et proposer des solutions.
"97",Z4101,Assurer un suivi personnalisé des patients.
"98",U2102,Organiser et superviser l'équipe opérationnelle.
"99",U2102,Réaliser des diagnostics techniques et proposer des solutions.
"100",U2102,Assurer la relation client et la prise de commande.
"101",U2102,Assurer la maintenance préventive et corrective des équipements.
"102",U2102,Préparer des commandes et gérer les stocks.
"103",O1601,Assurer un suivi personnalisé des patients.
"104",O1601,Réaliser des interventions sur chantier.
"105",O1601,Assurer un suivi personnalisé des patients.
"106",W2003,Assurer un suivi personnalisé des patients.
"107",W2003,Assurer un suivi personnalisé des patients.
"108",W2003,Mettre en place des actions qualité et sécurité.
"109",AA101,Réaliser des diagnostics techniques et proposer des solutions.
"110",AA101,Mettre en place des actions qualité et sécurité.
"111",AA101,Gérer la comptabilité et les déclarations fiscales.
"112",AA101,Gérer la comptabilité et les déclarations fiscales.
"113",AA101,Réaliser des diagnostics techniques et proposer des solutions.
"114",BB202,Assurer un suivi personnalisé des patients.
"115",BB202,Mettre en place des actions qualité et sécurité.
"116",BB202,Réaliser des interventions sur chantier.
"117",CC303,Gérer la comptabilité et les déclarations fiscales.
"118",CC303,Préparer des commandes et gérer les stocks.
"119",CC303,Préparer des commandes et gérer les stocks.
"120",CC303,Réaliser des diagnostics techniques et proposer des solutions.
"121",CC303,Réaliser des diagnostics techniques et proposer des solutions.
"122",DD404,Assurer la maintenance préventive et corrective des équipements.
"123",DD404,Préparer des commandes et gérer les stocks.
"124",DD404,Mettre en place des actions qualité et sécurité.
"125",EE505,Réaliser des interventions sur chantier.
"126",EE505,Gérer la comptabilité et les déclarations fiscales.
"127",EE505,Assurer la maintenance préventive et corrective des équipements.
"128",EE505,Préparer des commandes et gérer les stocks.
"129",FF606,Réaliser des diagnostics techniques et proposer des solutions.
"130",FF606,Mettre en place des actions qualité et sécurité.
"131",FF606,Gérer la comptabilité et les déclarations fiscales.
"132",GG707,Gérer la comptabilité et les déclarations fiscales.
"133",GG707,Assurer un suivi personnalisé des patients.
"134",GG707,Concevoir et développer des modules logiciels.
"135",HH808,Gérer la comptabilité et les déclarations fiscales.
"136",HH808,Organiser et superviser l'équipe opérationnelle.
"137",HH808,Réaliser des diagnostics techniques et proposer des solutions.
"138",HH808,Assurer la maintenance préventive et corrective des équipements.
"139",HH808,Organiser et superviser l'équipe opérationnelle.
"140",HH808,Réaliser des interventions sur chantier.
"141",II909,Assurer la relation client et la prise de commande.
"142",II909,Réaliser des interventions sur chantier.
"143",II909,Préparer des commandes et gérer les stocks.
"144",II909,Réaliser des diagnostics techniques et proposer des solutions.
"145",II909,Préparer des commandes et gérer les stocks.
"146",JJ010,Concevoir et développer des modules logiciels.
"147",JJ010,Mettre en place des actions qualité et sécurité.
"148",JJ010,Organiser et superviser l'équipe opérationnelle.
"149",JJ010,Gérer la comptabilité et les déclarations fiscales.
"150",JJ010,Réaliser des diagnostics techniques et proposer des solutions.
"151",JJ010,Mettre en place des actions qualité et sécurité.
"152",KK111,Mettre en place des actions qualité et sécurité.
"153",KK111,Réaliser des interventions sur chantier.
"154",KK111,Gérer la comptabilité et les déclarations fiscales.
"155",KK111,Gérer la comptabilité et les déclarations fiscales.
"156",KK111,Assurer un suivi personnalisé des patients.
"157",LL212,Assurer un suivi personnalisé des patients.
"158",LL212,Réaliser des diagnostics techniques et proposer des solutions.
"159",LL212,Assurer un suivi personnalisé des patients.
"160",LL212,Gérer la comptabilité et les déclarations fiscales.
"161",MM313,Concevoir et développer des modules logiciels.
"162",MM313,Réaliser des interventions sur chantier.
"163",MM313,Assurer un suivi personnalisé des patients.
"164",MM313,Assurer la relation client et la prise de commande.
"165",MM313,Assurer la relation client et la prise de commande.
"166",MM313,Préparer des commandes et gérer les stocks.
"167",NN414,Assurer la maintenance préventive et corrective des équipements.
"168",NN414,Assurer la maintenance préventive et corrective des équipements.
"169",NN414,Préparer des commandes et gérer les stocks.
"170",NN414,Assurer la relation client et la prise de commande.
"171",OO515,Assurer un suivi personnalisé des patients.
"172",OO515,Gérer la comptabilité et les déclarations fiscales.
"173",OO515,Réaliser des interventions sur chantier.
"174",OO515,Préparer des commandes et gérer les stocks.
"175",PP616,Assurer un suivi personnalisé des patients.
"176",PP616,Réaliser des diagnostics techniques et proposer des solutions.
"177",PP616,Organiser et superviser l'équipe opérationnelle.
"178",PP616,Réaliser des interventions sur chantier.
"179",PP616,Gérer la comptabilité et les déclarations fiscales.
"180",PP616,Organiser et superviser l'équipe opérationnelle.
"181",QQ717,Gérer la comptabilité et les déclarations fiscales.
"182",QQ717,Mettre en place des actions qualité et sécurité.
"183",QQ717,Gérer la comptabilité et les déclarations fiscales.
"184",QQ717,Réaliser des interventions sur chantier.
"185",QQ717,Concevoir et développer des modules logiciels.
"186",QQ717,Mettre en place des actions qualité et sécurité.
"187",RR818,Organiser et superviser l'équipe opérationnelle.
"188",RR818,Réaliser des diagnostics techniques et proposer des solutions.
"189",RR818,Concevoir et développer des modules logiciels.
"190",RR818,Mettre en place des actions qualité et sécurité.
"191",SS919,Mettre en place des actions qualité et sécurité.
"192",SS919,Préparer des commandes et gérer les stocks.
"193",SS919,Réaliser des diagnostics techniques et proposer des solutions.
"194",TT020,Mettre en place des actions qualité et sécurité.
"195",TT020,Préparer des commandes et gérer les stocks.
"196",TT020,Mettre en place des actions qualité et sécurité.
"197",TT020,Gérer la comptabilité et les déclarations fiscales.
"198",TT020,Assurer la maintenance préventive et corrective des équipements.
"199",TT020,Organiser et superviser l'équipe opérationnelle.
"200",UU121,Assurer un suivi personnalisé des patients.
"201",UU121,Réaliser des diagnostics techniques et proposer des solutions.
"202",UU121,Réaliser des interventions sur chantier.
"203",UU121,Assurer la maintenance préventive et corrective des équipements.
"204",UU121,Gérer la comptabilité et les déclarations fiscales.
"205",VV222,Réaliser des diagnostics techniques et proposer des solutions.
"206",VV222,Assurer la relation client et la prise de commande.
"207",VV222,Gérer la comptabilité et les déclarations fiscales.
"208",WW323,Organiser et superviser l'équipe opérationnelle.
"209",WW323,Préparer des commandes et gérer les stocks.
"210",WW323,Assurer la maintenance préventive et corrective des équipements.
"211",WW323,Assurer la relation client et la prise de commande.
"212",XX424,Concevoir et développer des modules logiciels.
"213",XX424,Réaliser des diagnostics techniques et proposer des solutions.
"214",XX424,Assurer la relation client et la prise de commande.
"215",XX424,Assurer un suivi personnalisé des patients.
"216",XX424,Organiser et superviser l'équipe opérationnelle.
"217",YY525,Organiser et superviser l'équipe opérationnelle.
"218",YY525,Réaliser des diagnostics techniques et proposer des solutions.
"219",YY525,Assurer un suivi personnalisé des patients.
"220",YY525,Assurer la relation client et la prise de commande.
"221",YY525,Concevoir et développer des modules logiciels.
"222",YY525,Réaliser des interventions sur chantier.
"223",ZZ626,Préparer des commandes et gérer les stocks.
"224",ZZ626,Réaliser des diagnostics techniques et proposer des solutions.
"225",ZZ626,Gérer la comptabilité et les déclarations fiscales.
