"CODE_ROME","NOM_METIER","taux_tension","NBR_POSTE_RECHERCHER","CAUSE","EXPERIENCE_REQUISE","ID_SECTEUR","age_median","SALAIRE_ANNUEL_MOYEN"
SS919,Ergothérapeute,"0.35","46119",Compétences rares et forte concurrence entre entreprises.,"2",Informatique,"43","18643"
TT020,Analyste sécurité,"0.85","19628",Difficulté de recrutement liée au manque de formation spécialisée.,"2",Services,"46","44730"
TT020,Analyste sécurité,"0.5","5798",Demande croissante liée à l'évolution démographique.,"10",Administration,"44","23250"
TT020,Analyste sécurité,"0.92","14553",Redistribution géographique des emplois.,"5",Santé,"47","58113"
UU121,Vétérinaire,"0.5","14962",Demande croissante liée à l'évolution démographique.,"1",BTP,"31","42703"
UU121,Vétérinaire,"0.5","39223",Demande croissante liée à l'évolution démographique.,"1",Santé,"49","56592"
UU121,Vétérinaire,"0.75","11174",Rémunération peu attractive et conditions difficiles.,"0",Services,"28","55729"
VV222,Responsable RH,"0.65","36851",Redistribution géographique des emplois.,"1",Administration,"29","24877"
VV222,Responsable RH,"0.92","22546",Compétences rares et forte concurrence entre entreprises.,"0",Informatique,"40","52778"
VV222,Responsable RH,"0.5","17610",Redistribution géographique des emplois.,"5",Informatique,"46","29354"
VV222,Responsable RH,"0.05","11269",Niveau de qualification élevé requis.,"0",Informatique,"35","20163"
WW323,Photographe,"0.35","42252",Automatisation partielle réduisant les besoins.,"7",Transport,"45","28097"
WW323,Photographe,"0.85","19092",Niveau de qualification élevé requis.,"0",Transport,"25","37402"
XX424,Agent immobilier,"0.92","13813",Niveau de qualification élevé requis.,"1",Agroalimentaire,"48","40720"
XX424,Agent immobilier,"0.35","15791",Niveau de qualification élevé requis.,"7",Santé,"41","53356"
XX424,Agent immobilier,"0.92","39940",Métier saisonnier avec fort turn-over.,"1",Transport,"35","51560"
XX424,Agent immobilier,"0.98","35418",Redistribution géographique des emplois.,"1",Agroalimentaire,"50","45946"
YY525,Audioprothésiste,"0.05","9017",Demande croissante liée à l'évolution démographique.,"10",Agroalimentaire,"40","52768"
YY525,Audioprothésiste,"0.75","34481",Automatisation partielle réduisant les besoins.,"1",BTP,"28","51555"
YY525,Audioprothésiste,"0.75","1955",Rupture entre formation et compétences demandées.,"5",Services,"27","47299"
YY525,Audioprothésiste,"0.75","43891",Demande croissante liée à l'évolution démographique.,"5",Transport,"27","51898"
ZZ626,Technicien de laboratoire,"0.65","27282",Automatisation partielle réduisant les besoins.,"10",Agroalimentaire,"25","35634"
ZZ626,Technicien de laboratoire,"0.35","45170",Redistribution géographique des emplois.,"3",Services,"36","19753"
ZZ626,Technicien de laboratoire,"0.65","35729",Automatisation partielle réduisant les besoins.,"1",Informatique,"31","16858"
ZZ626,Technicien de laboratoire,"0.1","35459",Compétences rares et forte concurrence entre entreprises.,"0",Informatique,"28","21349"
